sep=	
time (πηγή1)	data.0	data.1	
0	642	292	
10	652	292	
20.001	621	291	
30.001	644	291	
40.001	644	292	
50.001	649	291	
60	523	292	
69.992	601	294	
79.99	641	293	
89.993	642	294	
99.989	564	295	
109.982	637	295	
119.979	454	296	
129.971	542	299	
139.968	563	299	
149.965	516	299	
159.955	480	302	
195.384	0	0	
203.106	432	291	
213.098	407	292	
223.092	500	294	
233.071	458	297	
243.056	444	297	
253.051	506	298	
263.043	449	302	
273.039	179	301	
283.037	420	302	
293.024	505	303	
303.018	503	303	
313.014	606	330	
323.013	551	299	
332.993	26	299	
342.984	13	299	
352.979	1	297	
362.968	2	296	
372.952	9	295	
382.951	10	297	
392.941	11	296	
402.927	11	296	
412.91	621	295	